"GBD 2017 sequelae, health states, health state lay descriptions, and disability weights",,,
Sequela,Health state name,Health state lay description,Disability Weight
Severe motor impairment with epilepsy due to neonatal preterm birth complications 28-32wks,Severe motor impairment with epilepsy,(combined DW),--
Severe motor impairment with epilepsy due to neonatal preterm birth complications <28wks,Severe motor impairment with epilepsy,(combined DW),--
Severe motor impairment with epilepsy due to neonatal preterm birth complications 32-36wks,Severe motor impairment with epilepsy,(combined DW),--
Severe motor impairment with blindness and epilepsy due to neonatal preterm birth complications 32-36wks,Severe motor impairment with blindness and epilepsy,(combined DW),--
Severe motor impairment with blindness and epilepsy due to neonatal preterm birth complications 28-32wks,Severe motor impairment with blindness and epilepsy,(combined DW),--
Mild vision impairment due to retinopathy of prematurity,"Distance vision, mild impairment","has some difficulty with distance vision, for example reading signs, but no other problems with eyesight.","0.003
(0.001-0.007)"
Severe motor impairment with blindness due to neonatal preterm birth complications 32-36wks ,Severe motor impairment with blindness,(combined DW),--
Severe motor impairment with blindness due to neonatal preterm birth complications <28wks ,Severe motor impairment with blindness,(combined DW),--
Severe motor impairment with blindness due to neonatal preterm birth complications 28-32wks ,Severe motor impairment with blindness,(combined DW),--
Severe motor impairment due to neonatal preterm birth complications 28-32wks,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Severe motor impairment due to neonatal preterm birth complications 32-36wks,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Severe motor impairment due to neonatal preterm birth complications <28wks,"Motor impairment, severe","is unable to move around without help, and is not able to lift or hold objects, get dressed or sit upright. ","0.402
(0.268-0.545)"
Moderate motor impairment with epilepsy due to neonatal preterm birth complications <28wks,Moderate motor impairment with epilepsy,(combined DW),--
Moderate motor impairment with epilepsy due to neonatal preterm birth complications 28-32wks,Moderate motor impairment with epilepsy,(combined DW),--
Moderate motor impairment with epilepsy due to neonatal preterm birth complications 32-36wks,Moderate motor impairment with epilepsy,(combined DW),--
Moderate motor impairment with blindness and epilepsy due to neonatal preterm birth complications <28wks,Moderate motor impairment with blindness and epilepsy,(combined DW),--
Moderate motor impairment with blindness and epilepsy due to neonatal preterm birth complications 28-32wks,Moderate motor impairment with blindness and epilepsy,(combined DW),--
Asymptomatic retinopathy of prematurity,--,--,--
Blindness due to retinopathy of prematurity,Distance vision blindness,"is completely blind, which causes great difficulty in some daily activities, worry and anxiety, and great difficulty going outside the home without assistance. ","0.187
(0.124-0.260)"
Mild motor impairment due to neonatal preterm birth complications <28wks,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,"0.010
(0.005-0.019)"
Mild motor impairment due to neonatal preterm birth complications 28-32wks,"Motor impairment, mild",has some difficulty in moving around but is able to walk without help.,"0.010
(0.005-0.019)"
Moderate motor plus cognitive impairment with blindness due to neonatal preterm birth complications 28-32wks,Moderate motor plus cognitive impairment with blindness,(combined DW),--
Moderate motor plus cognitive impairment with blindness due to neonatal preterm birth complications <28wks,Moderate motor plus cognitive impairment with blindness,(combined DW),--
Moderate motor plus cognitive impairment with blindness due to neonatal preterm birth complications 32-36wks,Moderate motor plus cognitive impairment with blindness,(combined DW),--
Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications 32-36wks,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),--
Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications <28wks,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),--
Moderate motor plus cognitive impairment with blindness and epilepsy due to neonatal preterm birth complications 28-32wks,Moderate motor plus cognitive impairment with blindness and epilepsy,(combined DW),--
Moderate motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 32-36wks,Moderate motor plus cognitive impairment with epilepsy,(combined DW),--
Moderate motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications <28wks,Moderate motor plus cognitive impairment with epilepsy,(combined DW),--
Moderate motor impairment with blindness and epilepsy due to neonatal preterm birth complications 32-36wks,Moderate motor impairment with blindness and epilepsy,(combined DW),--
Moderate motor plus cognitive impairment with epilepsy due to neonatal preterm birth complications 28-32wks,Moderate motor plus cognitive impairment with epilepsy,(combined DW),--
Asymptomatic neonatal preterm birth 32-<37wks,--,--,--
Asymptomatic neonatal preterm birth 28-<32 wks,--,--,--
Asymptomatic neonatal preterm birth <28 weeks,--,--,--
Severe vision impairment due to retinopathy of prematurity,"Distance vision, severe impairment","has severe vision loss, which causes difficulty in daily activities, some emotional impact (for example worry), and some difficulty going outside the home without assistance.","0.184
(0.125-0.258)"
Moderate vision impairment due to retinopathy of prematurity,"Distance vision, moderate impairment",has vision problems that make it difficult to recognize faces or objects across a room.,"0.031
(0.019-0.049)"
Mild motor plus cognitive impairments due to neonatal preterm birth complications 32-36wks,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.031
(0.018-0.050)"
Mild motor plus cognitive impairments due to neonatal preterm birth complications 28-32wks,"Motor plus cognitive impairments, mild","has some difficulty in moving around but is able to walk without help. The person is slow in learning at school. As an adult, the person has some difficulty doing complex or unfamiliar tasks but otherwise functions independently.","0.031
(0.018-0.050)"
